id,name,artist_id,artists,artist_genre,album_type,album_id,album_name,album_release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3Xzog9enTvbsc0G7G9M58D,shut up and dance - live acoustic - 2015,6DIS6PRrLS3wbnZsf7vYic,walk the moon,"dance rock,indie poptimism,modern alternative rock,modern rock,pop rock,rock",single,7gVpldI2kuvncnrLtiOcDl,shut up and dance (acoustic),2015,193987,57,0.82,0.615,0,-4.548,1,0.0466,0.151,0.0,0.204,0.768,129.874,4.0
3Y7fpFZbHLpAvWJJYGehz0,follow the sun,5lbM4g6bhxjNX7R5QHP2nD,xavier rudd,"australian indie folk,australian reggae fusion,neo mellow",album,2GFXYpDQ1TOZ9zJUk30tXO,spirit bird,2012,256267,69,0.611,0.394,0,-10.757,1,0.0416,0.534,4.68E-5,0.108,0.202,123.941,4.0
3YfiGjwBzBsDrYPqAJsD4z,kiss from a rose - acoustic,5GtMEZEeFFsuHY8ad4kOxv,seal,british soul,compilation,3NehJpD5x3MUtpl8jDTHaa,best 1991 - 2004,2004,324067,51,0.66,0.407,4,-9.72,0,0.0355,0.743,0.0,0.0784,0.268,119.354,3.0
3YkhNMK7YcdkUSKM5nM3ur,the nights,39rKElzF7q6K4O2flycSEc,chlara,"opm,viral pop",single,3HB8IlJuG0cOxpp77kJdwx,the nights,2018,222000,54,0.546,0.32,11,-6.903,1,0.0321,0.827,0.0,0.321,0.53,88.216,4.0
3YyJaBzkqDkAmLpFwfvp0c,inside,2BBfYt4CoYLpDpPrIeCndQ,roman samuels,"",album,1WmB2QMyTSB3IavcJRBvcN,dreamland,2022,183365,20,0.308,0.369,2,-8.951,1,0.0392,0.797,0.0,0.0903,0.224,179.083,3.0
3ZEXhL7eiPAUNPfWwmR6Zr,you’re beautiful - acoustic,4LaimQU44rsz2kMWQmY6Bi,john adams,"acoustic cover,viral pop",single,0ztj2oG3jZF4KNkkSTW1KY,you’re beautiful (acoustic),2018,204973,50,0.479,0.154,2,-11.282,1,0.0352,0.915,0.0,0.0974,0.36,147.207,4.0
3ZRlg600coYessFLpdWaWr,bye bye bye - acoustic,6cpVjPOo5Ozn28hUfYBXqm,jonah baker,"acoustic cover,viral pop",single,4mlyTJONVVLaKzbR8Juycb,bye bye bye (acoustic),2020,172757,37,0.622,0.0851,7,-15.387,0,0.0582,0.874,0.0,0.156,0.538,82.037,4.0
3a9Bt31wzydJ1zK0rCfGKF,17 inside,1oBXXRTPzynCh1tLDOmlkI,emmrose,"",single,5RUnLY8wDNQHO01L20uZU4,17 inside,2023,223963,19,0.483,0.425,7,-7.118,1,0.0423,0.515,0.0,0.166,0.246,173.984,4.0
3aKJVWH2QOsaMtiCLxYHZX,lake of fire,6olE6TJLqED3rqDCT0FyPh,nirvana,"alternative rock,grunge,permanent wave,rock",album,5pbjLidJuoty9QUOy6X682,mtv unplugged in new york,1994,175907,66,0.561,0.616,1,-9.69,0,0.195,0.318,4.47E-5,0.405,0.683,145.249,4.0
3aLw4aYR91qxl59KtD04Ai,say you won't let go - live acoustic,6ZR3rfdytKqMjLPxfbTar0,alexa goddard,"acoustic chill,channel pop,viral pop",single,7M9VQdfh3LATNPQaBF5RBH,say you won't let go (live acoustic),2016,212271,35,0.607,0.15,1,-13.171,1,0.0334,0.864,0.0,0.0881,0.571,94.363,4.0
